columna,dtype,%nulos,n_unicos,top5_valores
ScoreBucket,category,0.0,4,"{'alto': 41836, 'medio': 40654, 'bajo': 40652, 'sin_info': 23797}"
CupoAprobado,float64,0.4,115,{}
DiasDesdeUltimoUso,float64,0.0,1096,{}
Edad,float64,0.0,76,{}
MesesDesdePrimerUso,float64,0.0,2901,{}
MesesDesdeVinculacion,float64,0.0,2366,{}
NumeroCreditosGCanalFPrevius,float64,0.0,76,{}
NumeroCreditosGCanalVPrevius,float64,0.0,6,{}
NumeroCreditosGEstadoActivosPrevius,float64,0.0,6,{}
NumeroCreditosGEstadoPagadosPrevius,float64,0.0,76,{}
NumeroCreditosGPrevius,float64,0.0,77,{}
NumeroCreditosLEstadoActivosPrevius,float64,0.0,2,{}
NumeroCreditosLEstadoPagadosPrevius,float64,0.0,4,{}
NumeroCreditosLPrevius,float64,0.0,5,{}
NumeroIntentosFallidos,float64,0.0,43,{}
ScoreCrediticio,float64,0.0,883,{}
TotalPagosEfectuadosGlobalmentePrevius,float64,0.0,220,{}
TotalPagosEfectuadosLocalmentePrevius,float64,0.0,12,{}
UsabilidadCupo,float64,0.0,101998,{}
creditos_activos_ratio,float64,0.0,554,{}
log_CupoAprobado,float64,0.0,114,{}
ratio_pagos_local_global,float64,0.0,1628,{}
Flag_CupoAprobado_NaN,int64,0.0,2,{}
Flag_DiasDesdeUltimoUso_Capped,int64,0.0,2,{}
Flag_DiasDesdeUltimoUso_NaN,int64,0.0,1,{}
Flag_DiasMaximosMoraCreditosGenerados_NaN,int64,0.0,2,{}
Flag_Edad_NaN,int64,0.0,2,{}
Flag_Edad_Out,int64,0.0,2,{}
Flag_MesesDesdePrimerUso_NaN,int64,0.0,1,{}
Flag_MesesDesdeVinculacion_Capped,int64,0.0,2,{}
Flag_MesesDesdeVinculacion_NaN,int64,0.0,1,{}
Flag_NumeroCreditosGCanalFPrevius_Capped,int64,0.0,2,{}
Flag_NumeroCreditosGCanalFPrevius_NaN,int64,0.0,2,{}
Flag_NumeroCreditosGCanalVPrevius_Capped,int64,0.0,2,{}
Flag_NumeroCreditosGCanalVPrevius_NaN,int64,0.0,2,{}
Flag_NumeroCreditosGEstadoActivosPrevius_Capped,int64,0.0,2,{}
Flag_NumeroCreditosGEstadoActivosPrevius_NaN,int64,0.0,2,{}
Flag_NumeroCreditosGEstadoPagadosPrevius_Capped,int64,0.0,2,{}
Flag_NumeroCreditosGEstadoPagadosPrevius_NaN,int64,0.0,2,{}
Flag_NumeroCreditosGPrevius_Capped,int64,0.0,2,{}
Flag_NumeroCreditosGPrevius_NaN,int64,0.0,2,{}
Flag_NumeroCreditosLEstadoActivosPrevius_Capped,int64,0.0,2,{}
Flag_NumeroCreditosLEstadoActivosPrevius_NaN,int64,0.0,2,{}
Flag_NumeroCreditosLEstadoPagadosPrevius_Capped,int64,0.0,2,{}
Flag_NumeroCreditosLEstadoPagadosPrevius_NaN,int64,0.0,2,{}
Flag_NumeroCreditosLPrevius_Capped,int64,0.0,2,{}
Flag_NumeroCreditosLPrevius_NaN,int64,0.0,2,{}
Flag_NumeroIntentosFallidos_NaN,int64,0.0,2,{}
Flag_PrimerUsoAntesVinc,int64,0.0,2,{}
Flag_PrimerUsoTemu,int64,0.0,2,{}
Flag_ScoreCrediticio_NaN,int64,0.0,2,{}
Flag_Score_Negativo,int64,0.0,2,{}
Flag_TotalPagosEfectuadosGlobalmentePrevius_Capped,int64,0.0,2,{}
Flag_TotalPagosEfectuadosGlobalmentePrevius_NaN,int64,0.0,2,{}
Flag_TotalPagosEfectuadosLocalmentePrevius_Capped,int64,0.0,2,{}
Flag_TotalPagosEfectuadosLocalmentePrevius_NaN,int64,0.0,2,{}
Flag_UltimoUsoPosterior,int64,0.0,1,{}
Flag_Usab_NaN,int64,0.0,2,{}
Flag_Usab_Outlier,int64,0.0,2,{}
ScoreSinInfo,int64,0.0,2,{}
CanalMunicipioEntregaTC,object,0.0,3,"{'Fisico': 92807, 'Virtual': 54116, 'Desconocido': 16}"
CategoriaPrincipalCredito,object,0.0,24,"{'Desconocido': 32828, 'celulares-y-telefonos': 26021, 'belleza-y-cuidado-personal': 20363, 'hogar-y-muebles': 11544, 'electronica,-audio-y-video': 11541}"
Genero,object,0.0,3,"{'Masculino': 70506, 'Femenino': 65494, 'Desconocido': 10939}"
TipoMunicipioEntregaTC,object,0.0,8,"{'VIRTUAL': 54116, 'PRINCIPAL': 31542, 'INTERMEDIO': 22604, 'GRANDE': 13007, 'PEQUEÑO': 11785}"
UsoAppWeb,object,0.0,3,"{'App': 106770, 'Desconocido': 36050, 'Web': 4119}"
